Code,Klassifikator,Klassifikator_ru,Klassifikator_en,Klassifikator_uzc,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025
1712251,Xatirchi tumani,Хатырчинский район,Khatyrchi district,Хатирчи тумани,161.8,170.3,173.4,176.6,179.9,182.9,185.8,188.8,191.7,195.4,199.0,201.9,205.8,209.8,213.2,216.4
1714,Namangan viloyati,Наманганская область,Namangan region,Наманган вилояти,2258.5,2379.5,2420.6,2458.7,2504.1,2554.2,2603.4,2652.4,2699.6,2752.9,2810.8,2867.5,2931.1,2997.5,3066.1,3131.7
1714401,Namangan shahri,Город Наманган,Namangan city,Наманган шаҳри,441.3,453.5,461.1,468.0,475.7,484.9,493.3,590.2,600.2,612.2,626.1,644.8,661.1,678.2,696.5,713.3999999999996
1714204,Mingbuloq tumani,Мингбулакский район,Mingbulak district,Мингбулоқ тумани,98.7,106.5,108.2,109.9,111.9,114.2,116.4,118.5,120.6,123.1,125.7,128.4,131.2,134.0,136.9,139.8
1714207,Kosonsoy tumani,Касансайский район,Kasansay district,Косонсой тумани,160.9,174.4,177.9,180.9,184.7,188.4,192.2,195.9,199.7,203.9,208.4,212.9,217.7,222.7,227.9,233.1
1714212,Namangan tumani,Наманганский район,Namangan district,Наманган тумани,183.9,200.2,204.1,207.8,212.0,216.7,221.6,167.3,170.8,174.7,178.6,179.8,183.8,188.2,192.7,197.1
1714216,Norin tumani,Нарынский район,Naryn district,Норин тумани,131.1,140.4,142.5,144.6,147.2,149.9,152.4,154.9,157.5,160.3,163.3,166.1,169.3,172.5,175.8,179.1
1714219,Pop tumani,Папский район,Pop district,Поп тумани,176.2,186.8,190.1,193.1,196.8,200.5,204.2,207.9,211.3,215.0,218.9,222.7,226.9,231.3,235.7,239.8
1714224,To‘raqo‘rg‘on tumani,Туракурганский район,Turakurgan district,Тўрақўрғон тумани,180.1,187.8,191.3,194.7,198.5,203.0,207.6,212.0,216.2,220.6,225.4,228.0,233.5,239.5,245.2,250.7
1714229,Uychi tumani,Уйчинский район,Uychi district,Уйчи тумани,189.1,196.0,199.6,202.9,207.1,212.0,216.3,199.5,203.4,207.7,212.3,216.8,222.1,227.2,232.4,237.6
1714234,Uchqo‘rg‘on tumani,Учкурганский район,Uchkurgan district,Учқўрғон тумани,142.4,147.2,149.4,151.4,153.9,156.8,159.5,162.4,165.2,168.2,171.6,174.6,178.1,181.7,185.4,188.7
